id,name,sum,amount,created,created_date,test1,test2,test3
505e2fc3-cd84-4010-9eb2-10ce3abca365,Thoughtstorm,3437,15455068,12/18/2004,2021-09-18T11:06:54Z,mlampitt0,true,43.158.119.47
2366c5bf-78e8-4592-a9d7-aca767bd2d74,Jaxnation,1971,29259290,06/22/2016,2013-03-11T04:30:57Z,ascowcroft1,false,176.73.203.40
a9f80f76-c555-420b-8c66-e99d870d02d9,Tazz,4043,78396984,11/27/2001,2001-02-22T10:40:12Z,lroyse2,true,9.45.27.49
0e4ece91-3777-425a-af50-b8b330641c26,Mydeo,1498,80484713,09/12/2016,2016-04-04T08:57:02Z,edrinkale3,true,67.59.201.146
237754b6-5917-404d-b5bf-42366e87be41,Flipbug,,,,,,,
9b5d6982-13fd-4632-865e-5c2186c77ff9,Brainbox,4212,250541,07/15/2016,2014-09-08T14:32:16Z,kdebruijne5,false,140.160.135.20
af110d69-ccd9-4a13-b1ab-0ed3b1f054a6,Skilith,56,19877408,05/14/2016,2006-05-03T19:20:56Z,jskyrme6,false,137.130.201.44
02bf2d6c-e64d-47e4-a800-70f89070cc07,Youspan,301,45432834,10/27/2010,2012-06-25T02:47:25Z,lhuffadine7,false,13.31.57.249
c6cedd83-8eac-4243-92b4-c92625fb7806,Divavu,3268,65861868,11/09/2008,2012-09-22T04:16:01Z,rbluett8,true,73.74.88.67
01867e75-b88f-4a27-b8a6-c822f6595c42,Blogspan,4993,22488464,06/23/2021,2014-04-12T11:13:39Z,twormell9,true,136.120.221.53
ed77c1ba-3bbf-417a-b33a-ed3ec5077d43,Meezzy,1658,73726769,11/05/2002,2018-02-02T10:52:48Z,cdorwooda,true,206.49.186.147
197d8e6e-a481-469c-aeb5-45800b20f6a6,Demizz,3381,73512877,09/14/2003,2012-02-11T22:03:19Z,rjohnsonb,false,132.51.5.205
0a2f323d-0590-4413-8e0f-aeb4d5a326bc,Wordpedia,2391,81296968,01/28/2021,2012-11-30T07:20:01Z,fgaizec,true,123.131.133.119
85dd79e5-1299-476f-a75d-ce99f71f2a4e,Tazz,3977,10929480,04/17/2014,2011-05-13T18:25:08Z,lgareyd,false,249.68.232.33
e48aa396-b196-4400-a765-1a5e36ee6b84,Bluejam,3768,25421940,08/24/2017,2019-09-25T21:05:44Z,agalletleye,true,221.22.120.60
54756b26-c6f3-4b2a-834f-330e2d105027,Flipbug,3178,74136051,10/28/2020,2000-11-25T15:11:31Z,bbirchf,false,71.123.113.218
ce1a6645-ea8e-4375-a35a-5fbc5bea4165,Edgepulse,3600,84418558,08/17/2016,2006-06-13T16:06:57Z,pdavidovg,false,120.83.125.189
a846a42f-70aa-4eaa-9493-ad8d7d65b82d,Avavee,3699,58165811,09/01/2007,2007-01-01T00:35:59Z,pkordesh,true,94.195.158.214
8db39d08-4e0b-42a0-af2a-ac49a9fc3c66,Quamba,3391,63288533,01/02/2005,2014-03-13T09:57:28Z,facresi,true,2.95.123.127
c26bff2a-0b80-4785-909a-4dbc42dd60d7,JumpXS,1720,78414604,04/06/2003,2001-06-23T03:30:47Z,dstrutej,false,19.29.125.136
421b590c-7a38-4162-9d5f-54395c470993,Pixonyx,49,66000790,05/07/2002,2012-12-24T21:56:08Z,lmatzelk,false,183.140.135.97
fb04f71a-51e0-460b-b063-288c7f44901e,Pixonyx,4315,20360747,03/30/2008,2010-10-01T20:44:39Z,rgetcliffel,false,18.26.70.44
28d0aa28-143e-47a9-9280-d0b862f8b4d8,Omba,1346,82734617,01/06/2012,2017-11-30T08:48:38Z,lreddiem,true,61.4.192.221
6f12e93f-57f1-4205-bae6-d5d1a884585b,Eabox,2177,27601637,10/03/2021,2015-07-13T16:06:01Z,cmarietten,true,254.161.151.93
